id,Company,Country,Industry,Sales (M),Profits (M),Assets (M),Market Value (M),Employee
1543,Jones Financial,U.S.,Securities,6694,838 ,16356,-,41000
1544,Jones Lang LaSalle,United States,Real Estate,6000,438,6200,5400,-
1545,Joy Global,U.S.,Construction and Farm Machinery,3172,"(1,178)",3712,1574,13400
1546,Joyo Bank,Japan,Regional Banks,1100,239,76300,2800,-
1547,JPMorgan Chase,United States,Major Banks,99900,23500,2423800,234200,-
1548,JR Simplot,United States,"Food, Drink & Tobacco",6000,-,-,-,10000
1549,JSW Steel,India,Iron & Steel,8700,-133,13000,4900,-
1550,JTEKT,Japan,Auto & Truck Parts,11700,402,9100,4900,-
1551,Julius Baer Group,Switzerland,Regional Banks,3200,126,84000,9400,-
1552,Juniper Networks,United States,Communications Equipment,4900,634,8600,9100,-
1553,Juroku Bank,Japan,Regional Banks,1000,183,52100,1200,-
1554,JX Holdings,Japan,Oil & Gas Operations,76200,-2100,58700,10700,-
1555,Jyske Bank,Denmark,Regional Banks,2500,368,79100,4000,-
1556,K+S,Germany,Diversified Chemicals,4600,549,9300,4800,-
1557,Kabbage,United States,Services,41 ,-,-,-,144
1558,Kaisa Group Holdings,China,Consumer Financial Services,3200,516,17000,1000,-
1559,Kajima,Japan,Construction Services,14400,334,15200,6800,-
1560,Kangmei Pharmaceutical,China,Pharmaceuticals,2800,465,5200,10000,-
1561,Kangwon Land,South Korea,Casinos & Gaming,1400,390,3100,7800,-
1562,Kansai Electric Power,Japan,Electric Utilities,27400,253,62000,8500,-
1563,Kansas City Southern,United States,Railroads,2400,491,8300,10600,-
1564,Kao Corp,Japan,Household/Personal Care,12200,817,10700,26700,-
1565,KapStone Paper & Packaging,U.S.,"Packaging, Containers",2789,106 ,3222,1337,6400
1566,Kar Auction Services,U.S.,Wholesalers: Diversified,2640,215 ,5792,5227,12528
1567,Karex,MALAYSIA,-,86,17,-,596,-
1568,Kasikornbank,Thailand,Regional Banks,7600,1000,75100,11100,-
1569,Kawasaki Heavy Industries,Japan,Heavy Equipment,12700,300,15100,5100,-
1570,Kawasaki Kisen Kaisha,Japan,Other Transportation,10900,26,9800,2100,-
1571,KB Financial Group,South Korea,Regional Banks,13800,1400,282000,12100,-
1572,KB Home,U.S.,Homebuilders,3032,85 ,5015,1357,1680
1573,KBC Group,Belgium,Regional Banks,14900,2900,274100,23400,-
1574,KBR,U.S.,"Engineering, Construction",5096,203 ,3412,2203,22000
1575,KC Tech,SOUTH KOREA,-,385,38,-,416,-
1576,KDDI,Japan,Telecommunications services,37300,4000,46500,81600,-
1577,Keiyo Bank,Japan,Regional Banks,560,111,37900,1100,-
1578,Kellogg,United States,Food Processing,13500,614,15300,26500,-
1579,Kelly Services,U.S.,Temporary Help,5518,54 ,1940,726 ,8100
1580,Kemper,U.S.,Insurance: Property and Casualty (Stock),2341,86 ,8036,1512,5600
1581,Kennametal,U.S.,Industrial Machinery,2647,(374),2850,1792,12700
1582,Keppel Corp,Singapore,Conglomerates,6700,992,21100,7700,-
1583,Kering,France,Apparel/Accessories,12800,708,25900,21500,-
1584,Kerry Group,Ireland,Food Processing,6800,583,7600,16100,-
1585,Keurig Green Mountain,U.S.,Beverages,4520,498 ,4002,-,6000
1586,KeyCorp,United States,Major Banks,4500,871,98400,10400,-
1587,Keyence,Japan,Electronics,3100,1100,9000,36500,-
1588,KIA Motors,South Korea,Auto & Truck Manufacturers,43800,2300,39200,17200,-
1589,Kiewit Corporation,United States,Construction,9000,-,-,-,22000
1590,Kimberly-Clark,United States,Household/Personal Care,18600,1000,14800,45700,-
1591,Kimco Realty,United States,Real Estate,1200,615,11300,11700,-
1592,Kinder Morgan,United States,Oil Services & Equipment,13800,213,84200,40400,-
1593,Kindred Healthcare,U.S.,Health Care: Medical Facilities,7098,(93),6519,1035,77800
1594,Kingdom Holding,Saudi Arabia,Investment Services,537,189,11500,12200,-
1595,Kingfisher,United Kingdom,Home Improvement Retail,15900,627,13800,12000,-
1596,Kingpak Technology,TAIWAN,-,81,12,-,433,-
1597,Kingston Technology Company,United States,Technology Hardware & Equipment,6600,-,-,-,3000
1598,Kintetsu,Japan,Railroads,10000,298,16100,8000,-
1599,Kirby,U.S.,Miscellaneous,2148,227 ,4156,3244,4200
1600,Kirin Holdings,Japan,Beverages,18100,-391,20300,13500,-
1601,Kirkland & Ellis,United States,Services,2300,-,-,-,3400
1602,Kiyo Bank,Japan,Regional Banks,657,137,36700,873,-
1603,KKR,U.S.,Securities,7786,489 ,71058,6600,1196
1604,KLA-Tencor,United States,Semiconductors,2800,531,4600,11200,-
1605,KMC (Kuei Meng) International,TAIWAN,-,106,22,-,452,-
1606,Knights of Columbus,U.S.,"Insurance: Life, Health (Mutual)",2180,68 ,22217,-,929
1607,Ko_ Holding,Turkey,Conglomerates,25500,1300,25100,13500,-
1608,Kobe Steel,Japan,Iron & Steel,15400,71,18600,4000,-
1609,Koch Foods,United States,"Food, Drink & Tobacco",3100,-,-,-,14000
1610,Koch Industries,United States,Multicompany,100000,-,-,-,100000
1611,Kohler,United States,Construction,6000,-,-,-,30000
1612,Kohl's,United States,Department Stores,19200,673,13600,8400,-
1613,Kohl®πs,U.S.,General Merchandisers,19204,673 ,13606,8631,86000
1614,Koito Manufacturing,Japan,Auto & Truck Parts,6600,327,4900,7000,-
1615,Komatsu,Japan,Heavy Equipment,15800,1200,22200,17800,-
1616,Kone,Finland,Construction Services,9600,1100,8200,23700,-
1617,Konica Minolta,Japan,Consumer Electronics,8600,307,8200,4600,-
1618,Korea Electric Power,South Korea,Electric Utilities,52100,11700,149500,33100,-
1619,Korea Gas,South Korea,Natural Gas Utilities,23000,282,36100,3100,-
1620,Korea Investment Holdings,South Korea,Investment Services,1200,287,26900,2400,-
1621,Korea Zinc,South Korea,Diversified Metals & Mining,4200,450,5000,8200,-
1622,Korean Air,South Korea,Airline,10200,-499,20600,2000,-
1623,Kotak Mahindra Bank,India,Regional Banks,3500,517,33400,18600,-
1624,Ko√ß Holding,Turkey,Energy,25515,1310,25013,-,91304
1625,KPN,Netherlands,Telecommunications services,7900,574,19300,16500,-
1626,Kraft Heinz,U.S.,Food Consumer Products,18338,634 ,122973,95465,42000
1627,Kraft Heinz Company,Canada,Food Processing,20200,634,123000,94900,-
1628,"KRAVE Pure Foods, Inc",United States,"Food, Drink & Tobacco",36 ,-,-,-,39
1629,Kroger,United States,Food Retail,109800,2000,34900,34200,-
1630,Krung Thai Bank,Thailand,Regional Banks,4900,803,81000,6900,-
1631,KT Corp,South Korea,Telecommunications services,19700,489,25000,6500,-
1632,KT&G,South Korea,Tobacco,3600,874,7600,14800,-
1633,Kubota,Japan,Heavy Equipment,13700,1200,21100,19600,-
1634,Kuehne + Nagel,Switzerland,Other Transportation,17400,702,6100,17200,-
1635,Kum & Go,United States,Convenience Stores & Gas Stations,2300,-,-,-,4700
1636,Kuwait Finance House,Kuwait,Regional Banks,3400,496,55500,8200,-
1637,Kuwait Projects,Kuwait,Investment Services,1900,176,31600,2700,-
1638,K-VA-T Food Stores,United States,Food Markets,2400,-,-,-,15000
1639,Kweichow Moutai,China,Beverages,4900,2500,14000,47900,-
1640,KWG Property Holding,Hong Kong,Consumer Financial Services,1300,543,12300,2000,-
1641,Kyocera,Japan,Electronics,12500,838,26400,18700,-
1642,Kyushu Electric Power,Japan,Electric Utilities,15400,131,38500,4800,-
1643,Kyushu Financial Group,Japan,Regional Banks,undefined,812,73000,2600,-
1644,L Brands,United States,Apparel/Footwear Retail,12200,1300,8500,22000,-
1645,L-3 Communications,United States,Aerospace & Defense,11200,-240,12100,9600,-
1646,La Poste,France,"Mail, Package, and Freight Delivery",25563,704 ,253105,-,245424
1647,LabCorp,United States,Healthcare Services,8700,436,14200,12400,-
1648,Laboratory Corp. of America,U.S.,Health Care: Pharmacy and Other Services,8680,437 ,14222,11912,50000
1649,LafargeHolcim,Switzerland,Construction Materials,24600,-1500,73200,30300,-
1650,Lam Research,United States,Semiconductors,5800,786,10000,12800,-
1651,Land O®πLakes,U.S.,Food Consumer Products,13161,308 ,8000,-,10000
1652,Land Securities Group,United Kingdom,Real Estate,1300,3200,23200,12200,-
1653,LandMark Optoelectronics,TAIWAN,-,64,31,-,1006,-
1654,Landstar System,U.S.,"Trucking, Truck Leasing",3321,148 ,998 ,2741,1223
1655,Lansing Trade Group,U.S.,Wholesalers: Diversified,5565,35 ,1008,-,500
1656,Larsen & Toubro,India,Construction Services,15100,733,32700,17700,-
1657,Las Vegas Sands,United States,Casinos & Gaming,11400,1800,21000,37200,-
1658,Latam Airlines,Chile,Airline,9700,-219,18100,3900,-
1659,Latham & Watkins,United States,Services,2700,-,-,-,4500
1660,Laurentian Bank,Canada,Regional Banks,1100,84,28600,1200,-
1661,Lear,United States,Auto & Truck Parts,18200,746,9400,8300,-
1662,lectricit√© de France,France,Utilities,83202,1317,302986,-,156312
1663,Legal & General Group,United Kingdom,Life & Health Insurance,19200,1600,578800,21000,-
1664,Legend Holding,China,Computer Hardware,49300,747,47200,5900,-
1665,Legg Mason,U.S.,Securities,2819,237 ,7074,3735,2982
1666,Leggett & Platt,U.S.,"Home Equipment, Furnishings",3937,325 ,2968,6528,20000
1667,Legrand,France,Electrical Equipment,5300,611,8500,15100,-
1668,Leidos Holdings,U.S.,Information Technology Services,5086,254 ,3377,3631,18000
1669,Lend Lease Group,Australia,Real Estate,11100,493,13900,5600,-
1670,Lennar,United States,Construction Services,9800,825,14200,10200,-
1671,Lennox International,U.S.,Industrial Machinery,3467,187 ,1680,6043,10000
1672,Lenovo Group,China,Computer Hardware,47100,-208,26800,9100,-
1673,Leprino Foods,United States,"Food, Drink & Tobacco",3000,-,-,-,4000
1674,Leucadia National,United States,Conglomerates,11100,270,46700,6200,-
1675,Level 3 Communications,United States,Telecommunications services,8200,3400,24100,19200,-
1676,Levi Strauss,U.S.,Apparel,4495,209 ,2884,-,12500
1677,Levi Strauss & Co,United States,Retailing,4500,-,-,-,12500
1678,Lexmark International,U.S.,Computer Peripherals,3551,(40),3912,2071,14000
1679,Leyard Optoelectronic,CHINA / HONG KONG,-,320,53,-,3563,-
1680,LG Chem,South Korea,Specialized Chemicals,17900,1000,15800,17800,-
1681,LG Corp,South Korea,Household Appliances,8200,834,15500,10800,-
1682,LG Display,South Korea,Electronics,25100,854,19300,8100,-
1683,LG Electronics,South Korea,Consumer Electronics,49900,110,31000,8800,-
1684,LG Household & Health Care,South Korea,Household/Personal Care,4700,407,3600,13700,-
1685,LG International,South Korea,Trading Companies,11700,-208,4600,1200,-
1686,LG Uplus,South Korea,Telecommunications services,9500,311,10200,4100,-
1687,Li & Fung,Hong Kong,Trading Companies,18800,421,7900,5400,-
1688,Liberbank,Spain,Regional Banks,1300,135,45800,1200,-
1689,Liberty Global,United Kingdom,Broadcasting & Cable,18300,-1200,67900,31400,-
1690,Liberty Interactive,United States,Internet & Catalog Retail,10000,869,21200,13000,-
1691,Liberty Media,U.S.,Entertainment,4795,64 ,29798,12927,3503
1692,Liberty Mutual Insurance Group,U.S.,Insurance: Property and Casualty (Stock),39450,514 ,121707,-,50000
1693,Li-Cheng Enterprise,TAIWAN,-,69,19,-,453,-
1694,Life Care Centers of America,United States,Health Care Equipment & Svcs,3100,-,-,-,40000
1695,LifePoint Health,U.S.,Health Care: Medical Facilities,6014,182 ,5997,2987,40000
1696,LIG Insurance,South Korea,Property & Casualty Insurance,8000,179,22100,1600,-
1697,Lincoln Electric Holdings,U.S.,Industrial Machinery,2536,128 ,1784,4064,10000
1698,Lincoln National,United States,Life & Health Insurance,14000,1200,254000,10600,-
1699,Linde,Germany,Diversified Chemicals,19900,1300,40500,28300,-
1700,Lindt & Sprungli,Switzerland,Food Processing,3800,395,6400,16300,-
1701,Linear Technology,United States,Semiconductors,1400,495,2000,11100,-
1702,Linical,JAPAN,-,64,11,-,316,-
1703,Link REIT,Hong Kong,Real Estate,1000,2300,20300,13900,-
1704,LinkedIn,United States,Computer Services,3000,-159,7000,15800,-
1705,Linn Energy,U.S.,"Mining, Crude-Oil Production",2883,"(4,760)",9977,127 ,1760
1706,Lithia Motors,U.S.,"Automotive Retailing, Services",7864,183 ,3227,2246,9574
1707,Live Nation Entertainment,U.S.,Entertainment,7246,(33),6156,4517,12200
1708,LiveIntent,United States,Business Services & Supplies,40 ,-,-,-,138
1709,Lixil Group,Japan,Construction Materials,14900,-54,18400,6800,-
1710,LKQ,United States,Auto & Truck Parts,7200,423,5600,10200,-
1711,Lloyds Banking Group,United Kingdom,Major Banks,46200,773,1189000,70000,-
1712,LM Ericsson,Sweden,Network and Other Communications Equipment,29282,1607,33740,-,116988
1713,Localytics,United States,Business Services & Supplies,10 ,-,-,-,150
1714,Lockheed Martin,United States,Aerospace & Defense,46100,3600,49100,69300,-
1715,Loen Entertainment,SOUTH KOREA,-,316,44,-,1826,-
1716,Loews,United States,Diversified Insurance,13400,260,76000,13500,-
1717,London Stock Exchange,United Kingdom,Investment Services,2200,502,682800,13700,-
1718,Longfor Properties,China,Real Estate,7600,1400,28300,8400,-
1719,L'Or®¶al Group,France,Household/Personal Care,28000,3700,36600,102900,-
1720,Lotte Chemical,South Korea,Specialized Chemicals,10300,877,9800,9200,-
1721,Lotte Shopping,South Korea,Department Stores,25700,-348,34700,7300,-
1722,Louis Dreyfus,Netherlands,Food Production,55733,211 ,18592,-,17555
1723,Love's Travel Stops & Country Stores,United States,Convenience Stores & Gas Stations,14200,-,-,-,15000
1724,Lowe's,United States,Home Improvement Retail,59100,2500,31800,68300,-
1725,Lowe®πs,U.S.,Specialty Retailers,59074,2546,31266,-,225000
1726,LPL Financial Holdings,U.S.,Securities,4275,169 ,4521,2207,3410
1727,Lucky Cement,PAKISTAN,-,829,136,-,2129,-
1728,Lufthansa Group,Germany,Airlines,35559,1884,35260,-,103158
1729,LukOil,Russia,Oil & Gas Operations,90400,4800,69600,36800,-
1730,Lundbergs,Sweden,Real Estate,2700,519,12900,6700,-
1731,L®πOr√©al,France,Household and Personal Products,28017,3658,36617,-,82881
1732,Lupin,India,Pharmaceuticals,2000,393,2300,10600,-
1733,Luxnet,TAIWAN,-,132,17,-,111,-
1734,Luxottica Group,Italy,Specialty Stores,9800,892,10500,26000,-
1735,Luzerner Kantonalbank,Switzerland,Regional Banks,662,187,33200,3600,-
1736,LyondellBasell Industries,Netherlands,Diversified Chemicals,32700,4500,22800,38500,-
1737,M&A Capital Partners,JAPAN,-,24,8,-,298,-
1738,M&T Bank,United States,Regional Banks,5100,1100,124600,18900,-
1739,M&T Bank Corp.,U.S.,Commercial Banks,4996,1080,122788,17660,16904
1740,M_ller-Maersk,Denmark,Other Transportation,40300,736,64100,30700,-
1741,Ma Labs,United States,Technology Hardware & Equipment,2000,-,-,-,1200
1742,Macauto Industrial,TAIWAN,-,117,21,-,389,-
1743,Macerich,United States,Real Estate,1300,86,11300,11500,-
1744,Macquarie Group,Australia,Investment Services,11200,1500,146800,17600,-
1745,Macy's,United States,Department Stores,27100,1100,20600,12800,-
1746,Macy®πs,U.S.,General Merchandisers,27079,1072,20576,-,157500
1747,Maersk Group,Denmark,Shipping,40308,791 ,62408,-,88355
1748,Magellan Financial Group,AUSTRALIA,-,237,145,-,2623,-
1749,Magellan Health,U.S.,Health Care: Insurance and Managed Care,4597,31 ,2069,1679,6900
1750,Magellan Midstream Partners,U.S.,Pipelines,2189,819 ,6042,15671,1640
1751,Magna International,Canada,Auto & Truck Parts,32700,2000,19700,17300,-
1752,Magnetic,United States,Business Services & Supplies,46 ,-,-,-,145
1753,Magnit,Russia,Food Retail,15600,973,5600,14600,-
1754,Mahindra & Mahindra,India,Auto & Truck Manufacturers,10400,425,15200,12300,-
1755,Maines Paper & Food Service,United States,"Food, Drink & Tobacco",3400,-,-,-,2600
1756,Makita,Japan,Household/Personal Care,3500,343,4800,8700,-
1757,Malwarebytes,United States,IT Software & Services,32 ,-,-,-,172
1758,Manila Electric,Philippines,Electric Utilities,5700,419,6000,8100,-
1759,Manitowoc,U.S.,Construction and Farm Machinery,3436,64 ,3449,593 ,11430
1760,Manpower,United States,Business & Personal Services,19400,425,7500,5900,-
1761,ManpowerGroup,U.S.,Temporary Help,19330,419 ,7518,5878,27000
1762,Mansfield Oil,United States,Oil & Gas Operations,7900,-,-,-,616
1763,Manulife Financial,Canada,Life & Health Insurance,25000,1700,481800,29300,-
1764,MAp,Australia,Other Transportation,917,395,9100,11300,-
1765,Mapfre,Spain,Diversified Insurance,22600,786,64800,8200,-
1766,Mapfre Group,Spain,Insurance: Property and Casualty (Stock),24795,786 ,68962,-,38405
1767,Marathon Oil,United States,Oil & Gas Operations,5400,-2200,32300,12200,-
1768,Marathon Petroleum,United States,Oil & Gas Operations,64500,2800,43100,21900,-
1769,Markel,United States,Diversified Insurance,5400,587,25600,12600,-
1770,Marks & Spencer,United Kingdom,Department Stores,16000,666,12400,10000,-
1771,Marriott International,United States,Hotels & Motels,14500,859,6100,16900,-
1772,Mars,United States,"Food, Drink & Tobacco",33000,-,-,-,75000
1773,Marsh & McLennan,United States,Insurance Brokers,12900,1600,18200,32400,-
1774,Martin Marietta Materials,United States,Construction Materials,3500,288,7000,10800,-
1775,Marubeni,Japan,Trading Companies,61700,1200,64300,9500,-
1776,Mary Kay,United States,Household & Personal Products,4000,-,-,-,5000
1777,Masco,United States,Construction Materials,7500,350,5700,10800,-
1778,Mashreq Bank,United Arab Emirates,Regional Banks,2300,654,31400,4000,-
1779,Masraf Al Rayan,Qatar,Regional Banks,696,577,24000,7200,-
1780,Massachusetts Mutual Life Insurance,U.S.,"Insurance: Life, Health (Mutual)",38243,1425,266550,-,11593
1781,MasTec,U.S.,"Engineering, Construction",4208,(79),2940,1623,15900
1782,MasterCard,United States,Consumer Financial Services,9700,3800,16300,108200,-
1783,Mattel,United States,Real Estate,5600,353,6000,10900,-
1784,Maxim Integrated Products,U.S.,Semiconductors and Other Electronic Components,2307,206 ,4228,10534,8250
1785,Maxis,Malaysia,Telecommunications services,2100,456,4600,11400,-
1786,Maybank,Malaysia,Regional Banks,7600,1700,165000,22700,-
1787,Mazda Motor,Japan,Auto & Truck Manufacturers,28000,1200,20900,9700,-
1788,McCarthy Holdings,United States,Construction,2800,-,-,-,3673
1789,McCormick,United States,Food Processing,4300,425,4400,11600,-
1790,McDonald's,United States,Restaurants,25400,4800,37900,110100,-
1791,McDonald®πs,U.S.,Food Services,25413,4529,37939,-,420000
1792,McGraw-Hill,United States,Printing & Publishing,5300,1200,8200,27400,-
1793,McKesson,United States,Pharmaceuticals,189100,2000,55100,40700,-
1794,McKinsey & Company,United States,Business Services & Supplies,8400,-,-,-,11000
1795,MDU Resources Group,U.S.,Energy,4376,(622),6628,3800,8689
1796,Mead Johnson Nutrition,United States,Household/Personal Care,4100,652,4000,15700,-
1797,MEDIANA,SOUTH KOREA,-,41,6,-,159,-
1798,Mediatek,Taiwan,Semiconductors,6700,818,10700,11100,-
1799,Medical Mutual of Ohio,U.S.,"Insurance: Life, Health (Mutual)",2462,120 ,1853,-,2186
1800,Mediobanca,Italy,Regional Banks,3300,721,77700,7000,-
1801,Medipal Holdings,Japan,Pharmaceuticals,24700,235,13000,4100,-
1802,Medline Industries,United States,Health Care Equipment & Svcs,7000,-,-,-,12700
1803,Mednax,U.S.,Health Care: Pharmacy and Other Services,2780,336 ,4547,6004,8645
1804,Medtronic,United States,Medical Equipment & Supplies,28600,2400,102700,110700,-
1805,Mega Financial Holding,Taiwan,Investment Services,2600,926,103500,9700,-
1806,MegaFon,Russia,Telecommunications services,5100,637,6400,6700,-
1807,Meijer,United States,Food Markets,16100,-,-,-,77000
1808,Meiji Holdings,Japan,Food Processing,10000,434,7500,12100,-
1809,Meiji Yasuda Life Insurance,Japan,"Insurance: Life, Health (Mutual)",35623,1783,348499,-,41045
1810,Menards,United States,Retailing,8700,-,-,-,45000
1811,Mercantil Servicios,Venezuela,Regional Banks,9400,1100,47000,1700,-
1812,Merck,United States,Pharmaceuticals,39000,4400,101800,157200,-
1813,Mercuries & Associates,Taiwan,Department Stores,5300,46,26800,378,-
1814,Mercury General,U.S.,Insurance: Property and Casualty (Stock),3009,75 ,4629,3062,4300
1815,Meritage Homes,U.S.,Homebuilders,2580,129 ,2691,1458,1409
1816,Meritor,U.S.,Motor Vehicles and Parts,3506,64 ,2195,736 ,8400
1817,Metaldyne Performance Group,U.S.,Motor Vehicles and Parts,3047,125 ,3177,1145,12000
1818,Metallurgical Corp of China,China,Construction Services,33600,763,53000,11000,-
1819,Metalurgica Gerdau,Brazil,Iron & Steel,13000,-697,17700,741,-
1820,MetLife,United States,Diversified Insurance,68000,5300,884200,51400,-
1821,Metro,Canada,Food Retail,9500,416,4300,8000,-
1822,Metro Group,Germany,Department Stores,66200,22,32900,10800,-
1823,Metropolitan Bank & Trust,Philippines,Regional Banks,1800,398,37500,5800,-
1824,Mettler-Toledo International,U.S.,"Scientific,Photographic and Control Equipment",2395,353 ,2019,9263,13000
1825,MGIC Investment,United States,Diversified Insurance,1000,1100,5800,2500,-
1826,MGM Resorts,United States,Casinos & Gaming,9200,-448,25200,12500,-
1827,MGM Resorts International,U.S.,"Hotels, Casinos, Resorts",9190,(448),25215,12111,57950
1828,Michael Kors Holdings,Hong Kong,Apparel/Accessories,4600,845,2500,9300,-
1829,Michaels Cos.,U.S.,Specialty Retailers: Other,4913,363 ,2023,5845,31500
1830,Michelin,France,Motor Vehicles and Parts,23516,1296,25953,-,105798
1831,Michelin Group,France,Auto & Truck Parts,23500,1300,26000,19600,-
1832,Micro Electronics,United States,Retailing,2400,-,-,-,2750
1833,Microchip Technology,United States,Semiconductors,2200,356,5400,10600,-
1834,Micron Technology,United States,Semiconductors,13700,1100,24800,11100,-
1835,Microsoft,United States,Software & Programming,86600,10200,181900,407000,-
1836,Midea Group,China,Household Appliances,22000,2000,19800,20200,-
1837,Migros Group,Switzerland,Food and Drug Stores,28486,833 ,62095,-,76183
1838,Millicom International,Luxembourg,Telecommunications services,6700,-559,10400,6000,-
1839,Minato Bank,Japan,Regional Banks,516,63,29300,603,-
1840,MISC,Malaysia,Other Transportation,2800,631,11100,10100,-
1841,Mitrajaya Holdings,MALAYSIA,-,228,22,-,224,-
1842,Mitsubishi,Japan,Trading,57689,"(1,244)",132731,-,68247
1843,Mitsubishi Chemical,Japan,Diversified Chemicals,31600,139,35800,8100,-
1844,Mitsubishi Chemical Holdings,Japan,Chemicals,31846,387 ,36141,-,68988
1845,Mitsubishi Corp,Japan,Trading Companies,59800,2700,135700,27700,-
1846,Mitsubishi Electric,Japan,Electrical Equipment,36600,2000,32800,23600,-
1847,Mitsubishi Estate,Japan,Real Estate,9000,456,42100,28400,-
1848,Mitsubishi Heavy Industries,Japan,Heavy Equipment,34200,765,46900,13000,-
1849,Mitsubishi Materials,Japan,Diversified Metals & Mining,11900,598,15100,4400,-
1850,Mitsubishi Motors,Japan,Auto & Truck Manufacturers,18600,796,12100,4400,-
1851,Mitsubishi UFJ Financial,Japan,Regional Banks,44200,7900,2458800,73500,-
1852,Mitsubishi UFJ Financial Group,Japan,Banks: Commercial and Savings,47600,7925,"2,654,413 ",-,110936
1853,Mitsubishi UFJ Lease,Japan,Rental & Leasing,6700,457,42300,4200,-
1854,Mitsui,Japan,Trading Companies,40600,1500,97600,22500,-
1855,Mitsui Chemicals,Japan,Specialized Chemicals,11700,263,11100,3500,-
1856,Mitsui Fudosan,Japan,Real Estate,13200,1000,43600,26300,-
1857,Mitsui OSK Lines,Japan,Other Transportation,14800,254,20600,3000,-
1858,Mizrahi Tefahot Bank,Israel,Regional Banks,1700,291,53800,2700,-
1859,Mizuho Financial,Japan,Major Banks,26000,5000,1625500,40700,-
1860,Mizuho Financial Group,Japan,Banks: Commercial and Savings,26783,5589,"1,721,468 ",-,56375
1861,mm2 Asia,SINGAPORE,-,28,6,-,243,-
1862,MMI Holdings,South Africa,Life & Health Insurance,5300,238,29000,2600,-
1863,Modernizing Medicine,United States,Health Care Equipment & Svcs,30 ,-,-,-,215
1864,Mohawk Industries,United States,Furniture & Fixtures,8100,615,9900,14500,-
1865,MOL Hungarian Oil,Hungary,Oil & Gas Operations,14700,-983,13500,6300,-
1866,Molina Healthcare,United States,Managed Health Care,14100,143,6600,3700,-
1867,Molson Coors Brewing,United States,Beverages,3600,360,12300,20600,-
1868,Momentive,United States,Chemicals,6400,-,-,-,10100
1869,Mondelez International,U.S.,Food Consumer Products,29636,7267,62843,-,99000
1870,Mondel®•z International,United States,Food Processing,29600,7300,62800,65700,-
1871,Mondi,United Kingdom,Paper & Paper Products,7600,665,7000,9000,-
1872,MonotaRO,JAPAN,-,476,37,-,3858,-
1873,Monsanto,United States,Specialized Chemicals,13700,1500,19400,41100,-
1874,Monster Beverage,United States,Beverages,2700,547,5700,25000,-
1875,Moody's,United States,Business & Personal Services,3500,941,5100,19300,-
1876,Moody®πs,U.S.,Financial Data Services,3485,941 ,5123,18820,10400
1877,Moog,U.S.,Aerospace and Defense,2526,132 ,3087,1678,10691
1878,Morgan Stanley,United States,Investment Services,32100,4900,807700,53700,-
1879,Mortenson,United States,Construction,3700,-,-,-,2500
1880,Mosaic,United States,Specialized Chemicals,8900,1000,17400,10000,-
1881,Motic (Xiamen) Electric Group,CHINA / HONG KONG,-,114,15,-,1073,-
1882,Motorola Solutions,United States,Communications Equipment,5700,608,8400,13200,-
1883,Mountaire Farms,United States,"Food, Drink & Tobacco",2100,-,-,-,6000
1884,MPM Holdings,U.S.,Chemicals,2289,(83),2663,336 ,5000
1885,MRC Global,U.S.,"Oil and Gas Equipment, Services",4529,(332),2502,1342,4100
1886,MS&AD Insurance,Japan,Property & Casualty Insurance,39400,828,160800,17600,-
1887,MS&AD Insurance Group Holdings,Japan,Insurance: Property and Casualty (Stock),41758,1512,180670,-,40617
1888,MSC Industrial Direct,U.S.,Wholesalers: Diversified,2910,231 ,2101,4694,6588
1889,MTN Group,South Africa,Telecommunications services,11500,1600,20300,18900,-
1890,MTR,Hong Kong,Railroads,5400,1700,31100,29100,-
1891,Mueller Industries,U.S.,Industrial Machinery,2100,88 ,1339,1682,4104
1892,Munich Re,Germany,Diversified Insurance,63500,3400,295700,34100,-
1893,Munich Re Group,Germany,Insurance: Property and Casualty (Stock),69433,3447,300356,-,43554
1894,Murata Manufacturing,Japan,Electronics,10000,1800,12600,29000,-
1895,Murphy Oil,U.S.,"Mining, Crude-Oil Production",3415,"(2,271)",11494,4338,1258
1896,Murphy USA,United States,Specialty Stores,12800,176,1900,2400,-
1897,Musashino Bank,Japan,Regional Banks,592,118,36100,918,-
1898,Mutual of America Life Insurance,U.S.,"Insurance: Life, Health (Mutual)",2495,65 ,17872,-,1093
1899,Mutual of Omaha Insurance,U.S.,"Insurance: Life, Health (stock)",7236,333 ,35629,-,5488
1900,My E.G. Services,MALAYSIA,-,41,20,-,1095,-
1901,Mylan,United States,Pharmaceuticals,9500,848,22300,23700,-
1902,NagaCorp,CHINA / HONG KONG,-,504,173,-,1569,-
1903,Nan Ya Plastics,Taiwan,Diversified Chemicals,9400,1100,15600,16000,-
1904,Nanto Bank,Japan,Regional Banks,615,75,46700,789,-
1905,Nasdaq,U.S.,Securities,3403,428 ,11861,10879,3824
1906,NASDAQ OMX Group,United States,Investment Services,3400,428,11900,10500,-
1907,Naspers,South Africa,Broadcasting & Cable,6400,1100,13300,60000,-
1908,National Australia Bank,Australia,Major Banks,28800,5000,671600,56500,-
1909,National Bank of Abu Dhabi,United Arab Emirates,Regional Banks,3700,1400,110700,12800,-
1910,National Bank of Canada,Canada,Regional Banks,5800,1100,155800,12000,-
1911,National Bank of Greece,Greece,Regional Banks,5900,-4700,121200,3000,-
1912,National Bank of Kuwait,Kuwait,Regional Banks,2900,855,81600,11600,-
