,_id,ltable_id,rtable_id,ltable_Name,ltable_Industry,ltable_MarketValue,rtable_Name,rtable_Industry,rtable_MarketValue,is_match
38,38,58,135,Aflac,Life & Health Insurance,28500,Aflac Incorporated,Accident &Health Insurance,$29.1B,1
39,39,58,136,Aflac,Life & Health Insurance,28500,Aflac Incorporated,Accident &Health Insurance,n/a,1
40,40,59,140,AGCO,Construction and Farm Machinery,4098,AGCO Corporation,Industrial Machinery/Components,$4.95B,1
41,41,61,142,Agile Property Holdings,Real Estate,2200,"Agile Therapeutics, Inc.",Major Pharmaceuticals,$64.42M,0
42,42,62,143,Agilent Technologies,Electronics,13700,"Agilent Technologies, Inc.",Biotechnology: Laboratory Analytical Instruments,$16.66B,1
43,43,66,151,Agrium,Specialized Chemicals,11900,Agrium Inc.,Agricultural Chemicals,$13.73B,1
44,44,17,155,ABM Industries,Diversified Outsourcing Services,1812,Air Industries Group,Military/Government/Technical,$28.57M,0
45,45,75,158,Air Products & Chemicals,Specialized Chemicals,31900,"Air Products and Chemicals, Inc.",Major Chemicals,$30.65B,1
46,46,81,164,AK Steel Holding,Metals,737 ,AK Steel Holding Corporation,Steel/Iron Ore,$2.52B,1
47,47,82,165,Akamai Technologies,Computer Services,9000,"Akamai Technologies, Inc.",Business Services,$10.9B,1
48,48,86,174,Alaska Air Group,Airline,9500,"Alaska Air Group, Inc.",Air Freight/Delivery Services,$11.96B,0
49,49,86,175,Alaska Air Group,Airline,9500,"Alaska Communications Systems Group, Inc.",Telecommunications Equipment,$84.74M,1
50,50,87,178,Albemarle,Chemicals,7176,Albemarle Corporation,Major Chemicals,$10.45B,1
51,51,90,181,Alcoa,Aluminum,13700,Alcoa Corporation,Metal Fabrications,$6.31B,1
52,52,92,185,Alere,Medical Products and Equipment,4380,Alere Inc.,Biotechnology: In Vitro & In Vivo Diagnostic Substances,$3.48B,1
53,53,92,186,Alere,Medical Products and Equipment,4380,Alere Inc.,n/a,n/a,1
54,54,95,193,Alexion Pharmaceuticals,Biotechs,35800,"Alexion Pharmaceuticals, Inc.",Major Pharmaceuticals,$29.55B,1
55,55,99,195,Alibaba,Business & Personal Services,200700,Alibaba Group Holding Limited,Business Services,$257.38B,1
