,_id,ltable_id,rtable_id,ltable_Country,ltable_Industry,ltable_MarketValue,ltable_Name,rtable_Name,rtable_Country,rtable_Sector,rtable_Industry,rtable_MarketValue,gold_labels
9666,9666,2922,927,China,Telecommunications,-,China Telecommunications,China TechFaith Wireless Communication Technology Limited,China,n/a,n/a,21.06755091,0
10602,10602,1566,943,United States,Food Production,-,CHS,CHS Inc,United States,Consumer Services,Farming/Seeds/Milling,328.0296915,1
10603,10603,1566,944,United States,Food Production,-,CHS,CHS Inc,United States,Consumer Services,Farming/Seeds/Milling,219.20974,1
10653,10653,1189,956,United States,Diversified Insurance,10600,Cincinnati Financial,Cincinnati Financial Corporation,United States,Finance,Property-Casualty Insurers,11911.21076,1
10760,10760,103,972,United States, Banks,12500,Citizens Financial Group,"Citizens, Inc.",United States,Finance,Life Insurance,372.107982,0
10776,10776,3079,979,United States,Waste Management,2842,Clean Harbors,"Clean Diesel Technologies, Inc.",United States,Capital Goods,Pollution Control Equipment,40.75104403,0
11077,11077,1298,1014,United States,Electric Utilities,21000,Consolidated Edison,Coca-Cola Bottling Co. Consolidated,United States,Consumer Non-Durables,Beverages (Production/Distribution),1924.980072,0
11084,11084,680,1015,United States,Beverages,192800,Coca-Cola,Coca-Cola Company (The),United States,Consumer Non-Durables,Beverages (Production/Distribution),182153.1,1
11213,11213,2291,1042,United States,Oil & Gas Operations,-,Colonial Group,Colonial Investment Grade Municipal Trust,United States,n/a,n/a,111.745772,0
11249,11249,2292,1048,United States,Oil & Gas Operations,10300,Columbia Pipeline Group,"Columbia Property Trust, Inc.",United States,Consumer Services,Real Estate Investment Trusts,2724.525094,0
11262,11262,2292,1050,United States,Oil & Gas Operations,10300,Columbia Pipeline Group,Columbia Sportswear Company,United States,Consumer Non-Durables,Apparel,4080.161255,0
11600,11600,2293,1081,United States,Oil & Gas Operations,15000,Concho Resources,"Comstock Resources, Inc.",United States,Energy,Oil & Gas Production,140.2502469,0
11716,11716,1298,1100,United States,Electric Utilities,21000,Consolidated Edison,"Consolidated Communications Holdings, Inc.",United States,Public Utilities,Telecommunications Equipment,1184.17675,0
11830,11830,2293,1107,United States,Oil & Gas Operations,15000,Concho Resources,"Continental Resources, Inc.",United States,Energy,Oil & Gas Production,17009.06319,0
11838,11838,2227,1114,United States,Motor Vehicles and Parts,2056,Cooper Tire & Rubber,Cooper Tire & Rubber Company,United States,Consumer Durables,Automotive Aftermarket,2346.595,1
11845,11845,2228,1115,United States,Motor Vehicles and Parts,1235,Cooper-Standard Holdings,Cooper-Standard Holdings Inc.,United States,Capital Goods,Auto Parts:O.E.M.,1963.521124,1
12062,12062,1423,1164,United States,Energy,806,Crestwood Equity Partners,CrossAmerica Partners LP,United States,Energy,Oil Refining/Marketing,877.6832434,0
12155,12155,816,1168,United States,Capital Goods,-,Crown Equipment,"Crown Crafts, Inc.",United States,Basic Industries,Textiles,82.77192825,0
12434,12434,1102,1191,United States,Convenience Stores & Gas Stations,-,Cumberland Gulf Group,Cumberland Pharmaceuticals Inc.,United States,Health Care,Major Pharmaceuticals,110.4925083,1
12599,12599,788,1245,United States,Business Services & Supplies,-,Delaware North Cos,"Delaware Investments Colorado Municipal Income Fund, Inc",United States,n/a,n/a,71.10585371,1
12619,12619,2452,1250,United States,Petroleum Refining,947,Delek US Holdings,"Delek Logistics Partners, L.P.",United States,Energy,Natural Gas Distribution,810.1426131,1
12857,12857,720,1297,United States,Broadcasting & Cable,11800,Discovery Communications,"Discovery Communications, Inc.",United States,Consumer Services,Television Services,11306.01072,1
13009,13009,1300,1313,United States,Electric Utilities,43200,Dominion Resources,"Dominion Resources, Inc.",United States,Public Utilities,Electric Utilities: Central,48753.24533,1
13053,13053,1808,1316,United States,Industrial Machinery,4242,Donaldson,"Donaldson Company, Inc.",United States,Capital Goods,Pollution Control Equipment,6013.366296,1
13086,13086,935,1327,United States,Conglomerates,10400,Dover,"Dover Motorsports, Inc.",United States,Consumer Services,Services-Misc. Amusement & Recreation,81.1605432,1
13987,13987,1366,1467,United States,Electrical Equipment,35700,Emerson Electric,Emerson Electric Company,United States,Energy,Consumer Electronics/Appliances,38613.57145,1
14173,14173,2514,1489,United States,Pipelines,-,Energy Transfer Equity,"Energy Transfer Equity, L.P.",United States,Public Utilities,Natural Gas Distribution,21292.32064,1
14222,14222,2513,1497,United States,Pipelines,3616,Enable Midstream Partners,"EnLink Midstream Partners, LP",United States,Public Utilities,Natural Gas Distribution,6274.755698,1
14393,14393,2770,1511,United States,Services,-,Enterprise Holdings,Enterprise Financial Services Corporation,United States,Finance,Major Banks,995.1564537,0
14540,14540,752,1528,United States,Business & Personal Services,13800,Equifax,"Equifax, Inc.",United States,Finance,Finance: Consumer Services,16508.83392,1
14564,14564,2606,1533,United States,Real Estate,25800,Equity Residential,"Equity Lifestyle Properties, Inc.",United States,Consumer Services,Real Estate Investment Trusts,6686.154978,1
14606,14606,1783,1546,United States,Household/Personal Care,34600,Estï¿½_e Lauder,"Estee Lauder Companies, Inc. (The)",United States,Consumer Non-Durables,Package Goods/Cosmetics,31067.54914,1
14926,14926,1869,1601,United States,Insurance: Property and Casualty (Mutual),-,Farmers Insurance Exchange,Farmers Capital Bank Corporation,United States,Finance,Major Banks,303.025958,0
15042,15042,516,1617,United States,Air Courier,44600,FedEx,FedEx Corporation,United States,Transportation,Air Freight/Delivery Services,52178.22227,1
15118,15118,2537,1626,United States,Property & Casualty Insurance,9100,Fidelity National Financial,"Fidelity National Financial, Inc.",United States,Finance,Specialty Insurers,13186.24274,1
15191,15191,1470,1628,United States,Financial Data Services,20564,Fidelity National Information Services,"Fidelity National Information Services, Inc.",United States,Miscellaneous,Business Services,26177.50421,1
15215,15215,2537,1628,United States,Property & Casualty Insurance,9100,Fidelity National Financial,"Fidelity National Information Services, Inc.",United States,Miscellaneous,Business Services,26177.50421,1
15234,15234,1470,1629,United States,Financial Data Services,20564,Fidelity National Information Services,Fidelity Southern Corporation,United States,Finance,Major Banks,590.0837481,0
15825,15825,1428,1680,United States,Energy,6968,First Solar,"First Solar, Inc.",United States,Technology,Semiconductors,2819.611126,1
15835,15835,1428,1681,United States,Energy,6968,First Solar,First South Bancorp Inc,United States,Finance,Major Banks,115.9028914,0
17270,17270,2798,1738,United States,Software & Programming,21900,Fiserv,"Fiserv, Inc.",United States,Technology,EDP Services,24741.36907,1
17470,17470,1034,1768,United States,Construction Services,7600,Fluor,Fluor Corporation,United States,Basic Industries,Military/Government/Technical,7352.944944,1
17529,17529,1716,1785,United States,"Home Equipment, Furnishings",8551,Fortune Brands Home & Security,"Fortune Brands Home & Security, Inc.",United States,Basic Industries,Homebuilding,9340.743531,1
17609,17609,1928,1795,United States,Investment Services,24100,Franklin Resources,Franklin Covey Company,United States,Consumer Services,Other Consumer Services,278.7862196,0
17624,17624,1928,1797,United States,Investment Services,24100,Franklin Resources,"Franklin Financial Network, Inc.",United States,Finance,Major Banks,506.0425275,0
17708,17708,2697,1805,United States,Retailing,-,Fry's Electronics,"Frequency Electronics, Inc.",United States,Capital Goods,Electrical Products,95.93920518,0
17766,17766,2948,1809,United States,Telecommunications services,6600,Frontier Communications,Frontier Communications Corporation,United States,Public Utilities,Telecommunications Equipment,2520.872944,1
18225,18225,938,1855,United States,Conglomerates,285600,General Electric,General Cable Corporation,United States,Basic Industries,Telecommunications Equipment,889.8054453,0
18227,18227,2614,1855,United States,Real Estate,25200,General Growth Properties,General Cable Corporation,United States,Basic Industries,Telecommunications Equipment,889.8054453,0
18244,18244,602,1856,United States,Auto & Truck Manufacturers,49600,General Motors,"General Communication, Inc.",United States,Public Utilities,Telecommunications Equipment,744.83832,0
18257,18257,602,1857,United States,Auto & Truck Manufacturers,49600,General Motors,General Dynamics Corporation,United States,Capital Goods,Marine Transportation,56790.99523,0
18267,18267,2614,1858,United States,Real Estate,25200,General Growth Properties,General Electric Company,United States,Energy,Consumer Electronics/Appliances,259519.669,0
18273,18273,1537,1859,United States,Food Processing,36000,General Mills,General Finance Corporation,United States,Technology,Diversified Commercial Services,134.4087813,0
18274,18274,1413,1859,United States,"Electronics, Electrical Equip.",599,General Cable,General Finance Corporation,United States,Technology,Diversified Commercial Services,134.4087813,0
18276,18276,489,1859,United States,Aerospace & Defense,42900,General Dynamics,General Finance Corporation,United States,Technology,Diversified Commercial Services,134.4087813,0
18291,18291,938,1860,United States,Conglomerates,285600,General Electric,"General Mills, Inc.",United States,Consumer Non-Durables,Packaged Foods,33997.75007,0
18307,18307,602,1861,United States,Auto & Truck Manufacturers,49600,General Motors,"General Moly, Inc",United States,Basic Industries,Precious Metals,45.471624,0
18440,18440,1196,1876,United States,Diversified Insurance,1500,Genworth Financial,Genworth Financial Inc,United States,Finance,Life Insurance,2053.50777,1
18694,18694,1472,1907,United States,Financial Data Services,8447,Global Payments,"Global Net Lease, Inc.",United States,Consumer Services,Real Estate Investment Trusts,1595.762938,0
18699,18699,3087,1908,United States,Wholesalers: Diversified,459,Global Partners,Global Partner Acquisition Corp.,United States,Health Care,Hospital/Nursing Management,194.0625,0
18744,18744,1472,1910,United States,Financial Data Services,8447,Global Payments,Global Payments Inc.,United States,Miscellaneous,Business Services,12303.05311,1
18858,18858,1663,1926,United States,Health Care Equipment & Svcs,-,Golden Living,"Golden Star Resources, Ltd",United States,Basic Industries,Precious Metals,310.6488508,0
18991,18991,3068,1949,United States,Utilities: Gas and Electric,4980,Great Plains Energy,Great Lakes Dredge & Dock Corporation,United States,Basic Industries,Military/Government/Technical,246.8965253,0
19008,19008,1620,1951,United States,"Food, Drink & Tobacco",-,Great Lakes Cheese,"Great Southern Bancorp, Inc.",United States,Finance,Major Banks,705.2335688,0
19224,19224,1169,1989,United States,Diversified Financials,5929,H&R Block,"H&R Block, Inc.",United States,Consumer Services,Other Consumer Services,4816.640027,1
19297,19297,1071,2001,United States,Consumer Electronics,6300,Harman International,Handy & Harman Ltd.,United States,Capital Goods,Industrial Specialties,332.947992,0
19323,19323,1855,2005,South Korea,"Insurance: Life, Health (stock)",-,Hanwha,"Hanwha Q CELLS Co., Ltd. ",South Korea,Technology,Semiconductors,613.3180118,1
19449,19449,543,2022,United States,Airlines,2520,Hawaiian Holdings,"Hawaiian Telcom Holdco, Inc.",United States,Consumer Services,Telecommunications Equipment,263.9419211,0
19648,19648,817,2045,United States,Capital Goods,-,Heico Cos,Heico Corporation,United States,Capital Goods,Aerospace,5872.946683,1
20043,20043,605,2097,Japan,Auto & Truck Manufacturers,51100,Honda Motor,"Honda Motor Company, Ltd.",Japan,Capital Goods,Auto Manufacturing,54537.09928,1
20142,20142,1542,2109,United States,Food Processing,20000,Hormel Foods,Hormel Foods Corporation,United States,Consumer Non-Durables,Meat/Poultry/Fish,18316.26626,1
20280,20280,877,2123,United States,Computer Hardware,21900,HP,HP Inc.,United States,Technology,Computer Manufacturing,30231.1817,1
20312,20312,1323,2127,China,Electric Utilities,16300,Huaneng Power International,"Huaneng Power International, Inc.",China,Public Utilities,Electric Utilities: Central,10119.65528,1
20360,20360,3042,2128,United States,Transportation and Logistics,1454,Hub Group,"Hub Group, Inc.",United States,Transportation,Oil Refining/Marketing,1582.532592,1
20858,20858,1543,2210,United States,Food Processing,7600,Ingredion,Ingredion Incorporated,United States,Consumer Non-Durables,Packaged Foods,8645.6697,1
21164,21164,2823,2256,United States,Specialized Chemicals,9600,International Flavors & Fragrances,International Game Technology,United States,Consumer Services,Services-Misc. Amusement & Recreation,4764.517603,0
21213,21213,2133,2256,United States,Media,-,International Data Group,International Game Technology,United States,Consumer Services,Services-Misc. Amusement & Recreation,4764.517603,0
21316,21316,2442,2258,United States,Paper & Paper Products,17800,International Paper,International Speedway Corporation,United States,Consumer Services,Services-Misc. Amusement & Recreation,1663.426982,0
21398,21398,167,2266,United States, Banks,539,INTL FCStone,INTL FCStone Inc.,United States,Finance,Investment Bankers/Brokers/Service,707.7545729,1
21453,21453,1944,2279,United States,Investment Services,13400,Invesco,Invesco California Value Municipal Income Trust,United States,n/a,n/a,589.7009149,1
21493,21493,1944,2283,United States,Investment Services,13400,Invesco,Invesco Municipal Income Opportunities Trust,United States,n/a,n/a,357.6952551,1
21504,21504,1944,2284,United States,Investment Services,13400,Invesco,Invesco Municipal Opportunity Trust,United States,n/a,n/a,874.7617501,1
21965,21965,1665,2341,United States,Health Care Equipment & Svcs,-,J M Smith Corporation,J & J Snack Foods Corp.,United States,Consumer Non-Durables,Specialty Foods,2534.169944,0
22189,22189,1894,2361,China,Internet & Catalog Retail,38800,JD.com,"JD.com, Inc.",China,Consumer Services,Other Specialty Stores,44206.10004,1
22231,22231,1546,2371,United States,Food Processing,15100,JM Smucker,JM Global Holding Company,United States,Finance,Business Services,68.64375,0
22303,22303,631,2386,United States,Auto & Truck Parts,27200,Johnson Controls,Johnson & Johnson,United States,Health Care,Major Pharmaceuticals,337641.5976,0
22307,22307,631,2387,United States,Auto & Truck Parts,27200,Johnson Controls,Johnson Outdoors Inc.,United States,Consumer Non-Durables,Recreational Products/Toys,364.0857358,0
22425,22425,863,2394,United States,Communications Equipment,9100,Juniper Networks,"Juniper Networks, Inc.",United States,Technology,Computer Communications Equipment,10630.56026,1
22437,22437,2567,2404,United States,Railroads,10600,Kansas City Southern,Kansas City Southern,United States,Transportation,Railroads,9145.760796,1
22562,22562,1813,2426,United States,Industrial Machinery,1792,Kennametal,Kennametal Inc.,United States,Capital Goods,Industrial Machinery/Components,3146.009718,1
22601,22601,2631,2438,United States,Real Estate,11700,Kimco Realty,Kilroy Realty Corporation,United States,Consumer Services,Real Estate Investment Trusts,7047.559795,1
22768,22768,2262,2467,South Korea,Natural Gas Utilities,3100,Korea Gas,Korea Electric Power Corporation,South Korea,Public Utilities,Electric Utilities: Central,26615.83063,1
23321,23321,884,2535,United States,Computer Peripherals,2071,Lexmark International,"Lennox International, Inc.",United States,Capital Goods,Industrial Machinery/Components,7190.949999,0
23439,23439,1394,2540,South Korea,Electronics,8100,LG Display,"LG Display Co., Ltd.",South Korea,Capital Goods,Industrial Machinery/Components,9746.899668,1
23454,23454,1881,2546,United States,Insurance: Property and Casualty (Stock),-,Liberty Mutual Insurance Group,Liberty All-Star Equity Fund,United States,n/a,n/a,1034.339976,0
23461,23461,1895,2547,United States,Internet & Catalog Retail,13000,Liberty Interactive,"Liberty All-Star Growth Fund, Inc.",United States,n/a,n/a,119.5677372,0
23473,23473,1881,2550,United States,Insurance: Property and Casualty (Stock),-,Liberty Mutual Insurance Group,"Liberty Expedia Holdings, Inc.",United States,Consumer Services,Other Consumer Services,2590.663823,0
23481,23481,1458,2552,United States,Entertainment,12927,Liberty Media,Liberty Interactive Corporation,United States,Consumer Services,Catalog/Specialty Distribution,3799.59409,0
23512,23512,1881,2556,United States,Insurance: Property and Casualty (Stock),-,Liberty Mutual Insurance Group,Liberty Media Corporation,United States,Consumer Services,Broadcasting,1166.51295,0
23526,23526,1881,2557,United States,Insurance: Property and Casualty (Stock),-,Liberty Mutual Insurance Group,Liberty Media Corporation,United States,Consumer Services,Broadcasting,6892.226491,0
23534,23534,1895,2558,United States,Internet & Catalog Retail,13000,Liberty Interactive,Liberty Media Corporation,United States,Consumer Services,Broadcasting,13007.73035,0
23549,23549,1895,2559,United States,Internet & Catalog Retail,13000,Liberty Interactive,Liberty Property Trust,United States,Consumer Services,Real Estate Investment Trusts,5666.55224,0
23555,23555,1458,2559,United States,Entertainment,12927,Liberty Media,Liberty Property Trust,United States,Consumer Services,Real Estate Investment Trusts,5666.55224,0
23561,23561,1881,2560,United States,Insurance: Property and Casualty (Stock),-,Liberty Mutual Insurance Group,"Liberty Tax, Inc.",United States,Miscellaneous,Multi-Sector Companies,180.7263375,0
23564,23564,1895,2560,United States,Internet & Catalog Retail,13000,Liberty Interactive,"Liberty Tax, Inc.",United States,Miscellaneous,Multi-Sector Companies,180.7263375,0
23565,23565,1881,2561,United States,Insurance: Property and Casualty (Stock),-,Liberty Mutual Insurance Group,"Liberty TripAdvisor Holdings, Inc.",United States,Technology,EDP Services,1053.787598,0
23566,23566,1458,2561,United States,Entertainment,12927,Liberty Media,"Liberty TripAdvisor Holdings, Inc.",United States,Technology,EDP Services,1053.787598,0
23692,23692,2043,2577,United States,Life & Health Insurance,10600,Lincoln National,"Lincoln Electric Holdings, Inc.",United States,Technology,Industrial Machinery/Components,5712.105213,0
23693,23693,1815,2577,United States,Industrial Machinery,4064,Lincoln Electric Holdings,"Lincoln Electric Holdings, Inc.",United States,Technology,Industrial Machinery/Components,5712.105213,1
23768,23768,1459,2588,United States,Entertainment,4517,Live Nation Entertainment,"Live Oak Bancshares, Inc.",United States,Finance,Major Banks,748.534526,0
23931,23931,2725,2605,United States,Securities,2207,LPL Financial Holdings,LPL Financial Holdings Inc.,United States,Finance,Investment Bankers/Brokers/Service,3587.495827,1
24145,24145,2517,2639,United States,Pipelines,15671,Magellan Midstream Partners,Magellan Midstream Partners L.P.,United States,Energy,Natural Gas Distribution,17537.3686,1
24149,24149,1670,2639,United States,Health Care: Insurance and Managed Care,1679,Magellan Health,Magellan Midstream Partners L.P.,United States,Energy,Natural Gas Distribution,17537.3686,0
24535,24535,1834,2675,United States,Insurance Brokers,32400,Marsh & McLennan,"Marsh & McLennan Companies, Inc.",United States,Finance,Specialty Insurers,38053.61497,1
24652,24652,1744,2693,United States,Hotels & Motels,16900,Marriott International,Matthews International Corporation,United States,Capital Goods,Metal Fabrications,2177.014118,0
24691,24691,2760,2695,United States,Semiconductors and Other Electronic Components,10534,Maxim Integrated Products,"Maxim Integrated Products, Inc.",United States,Technology,Semiconductors,12709.80485,1
24777,24777,2486,2709,United States,Pharmaceuticals,40700,McKesson,McKesson Corporation,United States,Health Care,Other Pharmaceuticals,31438.90424,1
25152,25152,827,2768,United States,Casinos & Gaming,12500,MGM Resorts,MGM Resorts International,United States,Consumer Services,Hotels/Resorts,15733.0343,1
25201,25201,2745,2772,United States,Semiconductors,11100,Micron Technology,"Micron Solutions, Inc.",United States,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,11.34041598,1
25346,25346,3011,2804,Japan,Trading,-,Mitsubishi,Mitsubishi UFJ Financial Group Inc,Japan,Finance,Commercial Banks,85143.859,0
25353,25353,1149,2804,Japan,Diversified Chemicals,8100,Mitsubishi Chemical,Mitsubishi UFJ Financial Group Inc,Japan,Finance,Commercial Banks,85143.859,0
25354,25354,665,2805,Japan,Banks: Commercial and Savings,-,Mizuho Financial Group,"Mizuho Financial Group, Inc.",Japan,Finance,Major Banks,46800.70691,1
25405,25405,864,2814,United States,Communications Equipment,13200,Motorola Solutions,"ModusLink Global Solutions, Inc",United States,Miscellaneous,Business Services,99.9954738,0
25590,25590,1498,2822,United States,Food Consumer Products,-,Mondelez International,"Moneygram International, Inc.",United States,Miscellaneous,Business Services,906.0572686,1
25742,25742,1956,2835,United States,Investment Services,53700,Morgan Stanley,Morgan Stanley China A Share Fund Inc.,United States,n/a,n/a,420.5617573,1
25856,25856,2367,2849,United States,"Oil and Gas Equipment, Services",1342,MRC Global,MRC Global Inc.,United States,Capital Goods,Industrial Machinery/Components,1741.993016,1
26328,26328,2375,2895,United States,Oil Services & Equipment,11000,National Oilwell Varco,National Beverage Corp.,United States,Consumer Non-Durables,Beverages (Production/Distribution),3935.973846,0
27357,27357,1433,2961,United States,Energy,3130,New Jersey Resources,"New Concept Energy, Inc",United States,Energy,Oil & Gas Production,3.5044812,0
27436,27436,1555,2966,China,Food Processing,5100,New Hope Liuhe,"New Oriental Education & Technology Group, Inc.",China,Consumer Services,Other Consumer Services,9506.190791,0
27456,27456,1842,2967,United States,"Insurance: Life, Health (Mutual)",-,New York Life Insurance,"New Relic, Inc.",United States,Technology,Computer Software: Prepackaged Software,1956.715113,0
27532,27532,2997,2970,United States,Thrifts & Mortgage Finance,7400,New York Community,"New York & Company, Inc.",United States,Consumer Services,Clothing/Shoe/Accessory Stores,125.6717924,0
27586,27586,2997,2973,United States,Thrifts & Mortgage Finance,7400,New York Community,New York Times Company (The),United States,Consumer Services,Newspapers/Magazines,2325.763541,0
27589,27589,1433,2973,United States,Energy,3130,New Jersey Resources,New York Times Company (The),United States,Consumer Services,Newspapers/Magazines,2325.763541,0
27651,27651,1433,2980,United States,Energy,3130,New Jersey Resources,"Newpark Resources, Inc.",United States,Energy,Metal Fabrications,686.4433938,0
