PreviousRank,CurrentRank,CompanyName,Industry,Revenues($M),Assets($M),CEO,Profits,YearsOnFortune500,HQLocation,RevChange,ProfitChange,Sector,BrandIndex,Employees,MktValue_03/31/16,intro
8,11,General Electric,Industrial Machinery,"$140,389","$492,692",Jeffrey R. Immelt,"$-6,126",22,"Fairfield, CT",-5.3%,-140.2%,Industrials,A,"333,000","$295,174","Under long-serving CEO Jeff Immelt, GE is undergoing a major transformation to refocus on its bedrock industrial businesses. In the process, Immelt is dismantling the legacy of his legendary predecessor, Jack Welch. In early 2015, Immelt and his team made the landmark decision to sell most of GE Capital, the lending business built by Welch that once generated half of the conglomerate’s profits but sank under the heavy regulatory regime adopted following the financial crisis. In just eighteen months, Immelt has sold, or reached agreements to shed, $171 billion of the financial arm’s $200 billion in assets. In mid-January 2016, GE agreed to unload another barely profitable bulwark, its consumer appliance franchise, to Haier of China for $5.4 billion. Immelt is betting heavily on lighting homes and powering plants across the globe; in November, GE acquired the power generation arm of France’s Alstom for $10 billion, greatly strengthening its reach in gas-fired, “combined cycle” plants that are driving the industry’s growth. So far, the results are mixed. In the first quarter, three GE staples — jet engines, medical equipment, and power generation — all showed good revenue growth, while two others, oil and gas, and transportation equipment, including locomotives, dropped sharply. All told GE’s industrial profits fell 7% from the first quarter of 2015. Indeed, the strategic thrust is daring, and so far shareholders are applauding: Since the start of 2015, GE’s stock has delivered a 25% return, easily waxing the S&P 500 by 23 points."
16,12,AmerisourceBergen,Wholesalers: Health Care,"$135,962","$27,736",Steven H. Collis,$-135,22,"Chesterbrook, PA",13.7%,-148.8%,Health Care,D,"17,000","$19,511","AmerisourceBergen is the second-largest distributor of pharmaceuticals in the U.S. As such, it’s subject to many of the same forces affecting McKesson, its top competitor. Generic drug price deflation and fewer expected generic-drug launches will put pressure on overall industry profits this year and next. AmerisourceBergen has been working to counter those effects by entering new markets through strategic acquisitions. This includes getting into animal health distribution with MWI Veterinary Supply, compounding with PharMEDium, and clinical trial logistics with World Courier. AmerisourceBergen also could face a windfall of new revenue in coming years after its partner Walgreens absorbs Rite Aid and its more than 4,500 pharmacists."
15,13,Verizon,Telecommunications,"$131,620","$244,640",Lowell C. McAdam,"$17,879",22,"New York, NY",3.6%,85.8%,Telecommunications,A,"177,700","$220,646","Verizon Communications moved to get smaller in 2015. A year after spending $130 billion to buy out wireless parter Vodafone, CEO Lowell McAdam sought to slim down and pay down some of the over $110 billion of long term debt he accumulated to pull off the buyout. That required selling off profitable but geographically remote landline telephone and FiOS cable television and Internet businesses in California, Texas and Florida to Frontier Communications for $10.5 billion. He raised another $5 billion selling off rights to more 11,000 cellular towers. Still, McAdam did need to make a few strategic additions. Verizon has frequently been rated as having the most comprehensive and widespread wireless network in the country but those airwaves have been filling up and getting ever more crowded. So McAdam spent big at the government’s Advanced Wireless Services spectrum auction, grabbing another 181 licenses. And in a play to move beyond subscription revenue and capture some of the growing digital advertising pie, McAdam snapped up AOL for $4 billion."
3,14,Chevron,Petroleum Refining,"$131,118","$266,103",John S. Watson,"$4,587",22,"San Ramon, CA",-35.7%,-76.2%,Energy,B+,"61,500","$179,653","The U.S.’s second-biggest oil and gas producer went into the 2014 oil crash in a weaker position than ExxonMobil and is struggling more, accordingly, in its efforts to come to terms with the new low price environment. Where Chevron has ended its share buyback program, Exxon’s is still going (albeit in reduced scale). Chevron’s restructuring costs drove it to a loss in the first quarter of 2016, while Exxon remains profitable. Last October, it said it would cut up to 10% of its 70,000 workforce. It has already twice cut its estimated investment budget for this year to conserve cash, and is offload non-core assets like its refinery in Hawaii where it can. On the brighter side, projects that have consumed enormous amounts of money in the past, like the Gorgon liquefied natural gas project in Australia, are finally coming on stream, and its balance sheet, while not as strong as Exxon’s, is still strong enough for it to allow CEO John Watson to be on the lookout for bargains as the market recovers."
18,15,Costco,Specialty Retailers: Other,"$116,199","$33,440",W. Craig Jelinek,"$2,377",22,"Issaquah, WA",3.2%,15.5%,Retailing,A,"161,000","$69,183","Costco Wholesale may be grappling with lower gas prices that are eating into its sales growth, but the bulk retailer still manages to outperform Sam’s Club every quarter. Costco, which benefits from having stores in more affluent areas than Sam’s does, has been looking to pad its lead by improving its merchandise, particularly fresh food, a key category for getting shoppers into stores. And given how Costco is an e-commerce laggard compared to rivals in terms of offering services like store pickup of online orders, finding ways to promote shopper traffic are essential. Some initiatives have included on-site bread baking at some stores. And its $15 billion-a-year Kirkland store brand is a cash cow that is only growing in popularity. Still, Costco will have to deal with a newly aggressive Sam’s Club which has made no secret of its intention to go higher end, aiming squarely at Costco’s customers."
17,16,Fannie Mae,Diversified Financials,"$110,359","$3,221,917",Timothy J. Mayopoulos,"$10,954",19,"Washington, DC",-5.2%,-22.9%,Financials,B,"7,300","$1,621","Mortgage-finance giant Fannie Mae has been in conservatorship since the company nearly went bust and required a government takeover in late 2008. But ever since 2012, when real estate prices finally starting rising again nationwide, the firm has been a cash cow for the United States government, returning $147.6 billion to the Treasury Department’s coffers, far more than the $116.1 billion bailout it received. The fact that it is required now to send all of its profits to the Treasury rather than rebuilding its capital is controversial because the policy means that Fannie would have to tap the Treasury again if the market goes sour and it starts losing money once again. Housing finance reform, however, remains stalled in Congress, like much else these days."
20,17,Kroger,Food and Drug Stores,"$109,830","$33,897",W. Rodney McMullen,"$2,039",22,"Cincinnati, OH",1.3%,18.0%,Food and Drug Stores,A+,"431,000","$36,815","Most of the supermarket industry has fallen prey to Walmart’s drive into grocery over the last decade–but not Kroger. The Cincinnati-based supermarket giant continued its streak in its last fiscal year, as profits jumped 18%, market share increased, and same-store sales grew 5% (excluding fuel) for the year. The fourth quarter of 2015 marked Kroger’s 49th consecutive quarter of same-store sales growth. The 133-year-old company kept up its acquisition tear by buying the Roundy chain, giving Kroger a foothold in Wisconsin. The company has pursued a robust private label line, with about 40% of its own brand made by the company’s facilities that include dairies, delis, cheese plants, and bakeries. This current fiscal year might not be as rosy for the U.S.’s second-largest food retailer. Kroger has warned that its sales growth could be perhaps the worst in more than a decade in part due to shaky consumer confidence and low commodity costs."
29,18,Amazon.com,Internet Services and Retailing,"$107,006","$65,444",Jeffrey P. Bezos,$596,15,"Seattle, WA",20.2%,-,Technology,A+,"230,800","$279,511","The Everything Store has entered into a new era — of profitability. The e-commerce giant founded by Jeff Bezos has gone from black sheep to Wall Street darling, thanks to four consecutive quarters of record profits. Amazon’s hardware business is taking off thanks to a hit with the nascent internet of things and newer, cheaper tablets. The company’s voice-controlled home automation device, Echo, has become one of Amazon’s most desired products and sales of its Fire tablets outpaced those of Apple’s iPads during last year’s Black Friday. Amazon Prime, the company’s subscription service for faster free delivery and streaming services of video and music, continues to serve as a lucrative business. In particular, Amazon has been doubling down on its streaming service, launching new original content for TV and movies, as well as offering a standalone streaming service for customers to rival Netflix. Up next? The e-commerce giant is quietly building a shipping network of trucks, planes, and freight to get deliveries to customers faster, taking on the likes of FedEx and UPS."
35,19,Walgreens Boots Alliance,Food and Drug Stores,"$103,444","$68,782",Stefano Pessina,"$4,220",22,"Deerfield, IL",35.4%,118.4%,Food and Drug Stores,A+,"302,500","$90,874","Walgreens Boots Alliance has not looked healthy lately. Its partnerships with scandal-plagued Silicon Valley unicorn Theranos and controversial drug company Valeant have led to countless embarrassing headlines. Its acquisition of smaller rival Rite Aid may force it to sell off more drugstores than it really wants to. All the while, the company is still working to integrate the Alliance Boots acquisition last year and the turnover of most of its c-level executives. Still, Walgreens size gives it enormous clout with drugmakers, and the Boots products have been a big shot in the arm for its beauty business, allowing it to fend off CVS’ big push in that area. And its generic drug distribution contract with AmerisourceBergen has allowed it keep costs in check by streamlining how its gets its supply of drugs."
19,20,HP,"Computers, Office Equipment","$103,355","$106,882",Dion J. Weisler,"$4,554",22,"Palo Alto, CA",-7.3%,-9.2%,Technology,A-,"287,000","$21,272","It was the end of an era for Hewlett Packard. The 76-year old business technology giant spent the majority of 2015 undertaking one of the most complicated corporate separations in history. Although Hewlett Packard was still a massive company with annual revenue at over $100 billion, the rise of cloud computing and the weakening personal computer and printer market took a toll on Hewlett Packard, which continued to see sales decline each quarter. To better compete in the changing marketplace, CEO Meg Whitman led the effort to split the company into two separate businesses with the idea that each could better concentrate on their own specialties and react more quickly to market changes. Additionally, the technology giant announced that it would shed over 30,000 jobs before it officially split in November 2015. Now, Whitman is the CEO of Hewlett Packard Enterprise, which sells data center hardware and business software, while Dion Weisler leads printer and personal computer maker HP, Inc. Unfortunately for HPE and HP, the technology market continued its chill in early 2016 and both companies saw first quarter revenue declines."
26,21,Cardinal Health,Wholesalers: Health Care,"$102,531","$30,142",George S. Barrett,"$1,215",22,"Dublin, OH",12.6%,4.2%,Health Care,C,"34,500","$26,989","Cardinal Health, a drug wholesaler that also makes gloves and surgical apparel, has been shoring up its future earnings through a series of strategic acquisitions, development of its alternate care business, and promotion of its specialty drug assets. The company has spent $5.7 billion on acquisitions since 2011, including paying $1.94 billion for Johnson & Johnson’s Cordis heart-product business. The deal closed ahead of schedule in late 2015. Along with the Cordis integration and a recent deal with Henry Shein, Cardinal Health will also be focused on its Red Oak venture over the next year. The 10-year split generics buying operation with CVS is a strong earnings booster. The partnerships and purchases are a way for Cardinal Health to snag a greater share of the medical products sold to hospitals, physicians, and ambulatory centers."
22,22,Express Scripts Holding,Health Care: Pharmacy and Other Services,"$101,752","$53,243",Timothy C. Wentworth,"$2,476",17,"St. Louis, MO",0.9%,23.4%,Health Care,C+,"25,900","$43,467","Over the past decade, Express Scripts has become the largest pharmacy benefit manager in the U.S. as the industry has consolidated. The company processes some 1.5 billion claims every year. The question now is if it can compete using its unique stand-alone business model with rivals like CVS Health that pursue a multi-pronged approach. Express Scripts has benefited from the wave of newly insured patients as a result of the Affordable Care Act and has significantly expanded its profit margins over the past five years, hitting 6.9% in 2015 compared to 5.4% in 2010. However, the company is at risk of losing its biggest customer. Express Scripts has been locked in a contract dispute with insurance giant Anthem, which accused Express Scripts of breach of contract and requested damages of as much as $13 billion. Anthem accounted for about 16% of Express Scripts’ revenue in 2015, and the likelihood of a contract renewal by 2019 is at stake."
21,23,J.P. Morgan Chase,Commercial Banks,"$101,006","$2,351,698",James Dimon,"$24,442",22,"New York, NY",-1.1%,12.3%,Financials,B+,"234,598","$217,353","Jamie Dimon has mostly won over critics that claimed his bank J.P. Morgan Chase should be broken up. But he’s done it, in part, by pairing down. J.P. Morgan is still the biggest bank in the U.S., but since last year its assets have shrunk by $150 billion to $2.4 trillion. Among the big banks it has appears to have figured out how to navigate the post-financial crisis landscape the best. The bank says it believes its bottom line will reach $30 billion by 2019."
27,24,Boeing,Aerospace and Defense,"$96,114","$94,408",Dennis A. Muilenburg,"$5,176",22,"Chicago, IL",5.9%,-5.0%,Aerospace & Defense,A-,"161,400","$82,645","The world’s largest aerospace company is celebrating its 100th anniversary this year. So far it’s off to a turbulent centennial: the company’s stock price has dropped 20% from an all-time high of nearly $160 per share in Feb. 2015. Investors are trepidatious after the company, which generates about two-thirds of its revenue from its commercial business and the rest from defense contracting, said it would deliver 740 to 745 commercial aircraft this year–less than the record 762 it delivered last year. The company also said it would lay off 4,000 workers in an effort to cut costs and that it would earn less than expected this year. Low oil prices have softened customer demand for the company’s latest and more fuel-efficient plane models, such as its costly 787 Dreamliner. Competition from rivals Airbus Group and Bombardier pose a threat to its lucrative single aisle 737 jetliner business. Meanwhile, the SEC is investigating multple years of the company’s accounting and financial filings."
31,25,Microsoft,Computer Software,"$93,580","$176,223",Satya Nadella,"$12,193",22,"Redmond, WA",7.8%,-44.8%,Technology,A+,"118,000","$436,831","After Satya Nadella’s second year as CEO, Microsoft continues to realign itself around cloud computing–no mean feat considering that it built its profitable franchise on Windows and Office software that runs on customers’ internal servers and PCs. Now Microsoft must convince them to use more Office 365, which runs in Microsoft’s own data centers, without overly cannibalizing sales of old-fashioned, on-premise Office, Exchange, and other applications. And it means convincing startups and consumers who are more into Linux or Apple to view Microsoft Azure, the company’s public cloud infrastructure, as a welcoming place for their work as well. So far, Nadella has gotten good reviews: Azure is seen as the only public cloud that can give Amazon Web Services a run for its money, although it remains a distant second. And by all accounts, Office 365 has gained traction. Microsoft also hopes its year-old Windows 10 operating system will please existing Windows shops and stem defections to Apple or ChromeBook devices. And it continues to deal with fallout from the decision to buy Nokia’s phone business two years ago, which resulted in a $7.5 billion write-down last year."
23,26,Bank of America Corp.,Commercial Banks,"$93,056","$2,144,316",Brian T. Moynihan,"$15,888",22,"Charlotte, NC",-2.2%,228.7%,Financials,B,"213,280","$139,603","Bank of America, with its enormous retail banking franchise, could be one of the big winners when interest rates really begin to rise. That, unfortunately for B of A, has yet to happen. Instead, the bank is still struggling to boost profitability in the low interest rate environment. CEO Brian Moynihan has instituted cost cutting plans dubbed “New BAC” and “Simplify and Improve,” but the company’s actual performance has only improved modestly. Moynihan may have to wait until rates rise before he can see the new new BAC."
30,27,Wells Fargo,Commercial Banks,"$90,033","$1,787,632",Timothy J. Sloan,"$22,894",22,"San Francisco, CA",1.9%,-0.7%,Financials,B+,"264,700","$244,568","2016 has not been kind to the nation’s largest banks, and Wells Fargo is no exception. Its recent performance was weighed down by troubles in the energy sector, as the bank has billions of outstanding loans out to oil and gas companies that are struggling to repay. It’s wealth management division will also now have to contend with the much-feared fiduciary rule, which will upend the way banks like Wells Fargo dispense financial advice. That said, the long term outlook for the bank is strong, as it surpassed Citigroup this year to become the third largest bank in America by assets, while it is nearly unrivaled in its focus on its main street customers who give the bank more than a trillion dollars in low cost deposits."
33,28,Home Depot,Specialty Retailers: Other,"$88,519","$42,549",Craig A. Menear,"$7,009",22,"Atlanta, GA",6.4%,10.5%,Retailing,A+,"385,000","$167,181","Home Depot has been nailing it, quarter after quarter. The do-it-yourself home improvement retailer has benefited from the housing recovery and people’s willingness to invest in big home projects now that they’re more confident that their homes will keep their value. Newish CEO Craig Menear has kept the momentum going, building up Home Depot’s e-commerce and expanding its private label products contractors swear by. Big-ticket items like power washers and lumber have been selling well. The only leaky faucet in its business outlook is the specter of higher interest rates that could slow housing market. Still, all signs point to continued momentum. Home Depot expects 1.9 million households will form this year, up from 1.3 million last year. And with nearly two-thirds of U.S. homes older than 30 years old, there will be need for home improvement products for a long time."
28,29,Citigroup,Commercial Banks,"$88,275","$1,731,210",Michael L. Corbat,"$17,242",22,"New York, NY",-2.6%,135.8%,Financials,B,"231,000","$122,796","Citigroup’s far-flung operations have long been one of its greatest strengths. CEO Mike Corbat formerly ran the bank’s operations in Africa, Europe, and the Middle East, but being the most exposed to the emerging markets has been a liability lately. Still the firm’s financial strength is among the best of the big banks these days, a big turnaround from 2008, when Citi nearly failed in the financial crisis. Citi came back to life by becoming super cost efficient, but the boost from cost cutting may be coming to an end. Recently revenue has been falling faster than Citi can cut expenses."
7,30,Phillips 66,Petroleum Refining,"$87,169","$48,580",Greg C. Garland,"$4,227",4,"Houston, TX",-41.7%,-11.2%,Energy,B+,"14,000","$45,566","Like many companies that buy and refine crude oil and natural gas rather than selling them, Phillips 66 has been able to watch the devastation of the collapse in crude prices with relative calm. Admittedly, refining margins, which expanded as crude fell, compressed again earlier in 2016, causing it to miss analysts’ profit forecasts by a wide margin in the first quarter. But with U.S. gasoline demand set to rise this year, natural gas taking market share from coal in the electric power market, and with steady growth in global demand for plastics, its core businesses seem reasonably well set. On the downside, it has spent a lot of money to fit its refineries for processing (largely Canadian) heavy crude, which is at the wrong end of the global cost curve. But it has the confidence of Warren Buffett, who made it the fifth-largest holding in his portfolio at Berkshire Hathaway earlier this year, and it has a strong balance sheet even after whittling away its cash pile to increase dividends and stock buybacks. Major developments planned for this year include the completion of the Freeport LPG export terminal on the Gulf Coast."
24,31,IBM,Information Technology Services,"$82,461","$110,495",Virginia M. Rometty,"$13,190",22,"Armonk, NY",-12.4%,9.7%,Technology,A-,"411,798","$145,525","Another quarter, another revenue slide for the tech behemoth. Indeed, IBM recently reported its sixteenth straight quarter of declining sales, which puts CEO Ginni Rometty in a tough spot with investors. The long-time IBMer is trying to shift the attention to the 104-year-old company’s newer businesses: cloud computing, mobility, analytics, and security as well as bold partnerships and acquisitions. (Its latest splurge was on data company Truven Health Analytics, which it is buying for $2.6 billion.) But the growth hasn’t been enough to offset the massive declines in Big Blue’s traditional businesses. Last year’s revenue, which came in at $82.5 billion, represented a more than 12% drop from the year before."
13,32,Valero Energy,Petroleum Refining,"$81,824","$44,343",Joseph Gorder,"$3,990",18,"San Antonio, TX",-34.5%,9.9%,Energy,C+,"10,103","$30,132","Valero has arguably enjoyed the domestic glut of crude oil in recent years more that anyone, having topped the stock performance tables along with its refining brethren since 2012. Times are getting tougher now that domestic crude production is falling and that the ban on exports of U.S. crude has been lifted. After a weak first quarter earnings report for 2016, its stock hit a low that was 25% off last year’s peak. But the world’s largest independent refiner — with 15 plants processing 3 million barrels of oil a day — is still managing to churn out cash and invest in new capacity: a new crude processing unit at its Corpus Christi, Tx., plant and a catalytic cracking unit at St. Charles, La., have both come on stream in recent months and will increase its refining capacity by over 105,000 barrels per day in net terms this year."
38,33,Anthem,Health Care: Insurance and Managed Care,"$79,157","$61,718",Joseph R. Swedish,"$2,560",22,"Indianapolis, IN",7.2%,-0.4%,Health Care,B-,"53,000","$36,325","Health insurance titan Anthem announced one of last year’s biggest acquisitions with a proposed $54 billion deal to buy competitor Cigna. While Cigna has recently warned that the deal may not close in 2016, the combined company would leapfrog UnitedHealth Group to become the nation’s largest insurer if approved. Anthem, which has more than 38 million people enrolled in its various health plans and boasted $62 billion in 2014 assets, has stood apart from prominent rivals when it comes to the Affordable Care Act, or Obamacare. Rival UnitedHealth recently announced it would be departing from all but a “handful” of the health law’s statewide insurance markets; by contrast, Anthem CEO Joseph Swedish told investors in April that a “sustainable market can be built” for the Obamacare exchanges. The company has also been locking horns with pharmacy benefits manager (PBM) Express Scripts, the number one provider of such prescription drug services in the U.S. Swedish made waves during this year’s annual J.P. Morgan Healthcare Conference when he claimed that Scripts was failing to pass on billions in savings from its price negotiations with drugmakers and threatened to break ties with the PBM (Anthem is Scripts’ biggest client). The contract dispute has grown increasingly nasty, with Anthem suing Express Scripts in March for $15 billion in damages and the right to terminate a 10-year contract with the benefits manager; Scripts promptly countersued Anthem in April 2016."
32,34,Procter & Gamble,Household and Personal Products,"$78,756","$129,495",David S. Taylor,"$7,036",22,"Cincinnati, OH",-6.8%,-39.6%,Household Products,A-,"110,000","$222,613","Consumer products giant Procter & Gamble, which counts Pampers, Tide, and Gillette among its largest brands, has been on a multi-year disposal program that’s seen the company shed over 100 of its brands. P&G plans to hang on to just 40%, or 65 of its 165 brands, and its largest and most profitable group of laundry detergent products will end up accounting for about 85% of revenue when the restructuring is completed by the third quarter of 2016. In order to jumpstart sales, new CEO David Taylor is trying to streamline decisionmaking as well, in hopes that it will spur new innovation. P&G is targeting $10 billion of savings in 2020, which it says it will reinvest to kickstart top-line sales growth. P&G’s organic sales growth has lagged of late, hitting just 1% in the first quarter of 2016 and trailing rivals Reckitt Benckiser (5%), Unilever (5%), and L’Oreal (4%)."
41,35,State Farm Insurance Cos.,Insurance: Property and Casualty (Mutual),"$75,697","$241,183",Michael L. Tipsord,"$6,229",22,"Bloomington, IL",6.4%,48.6%,Financials,B+,"70,425",-,"Bloomington, Illinois-based State Farm ended 2015 in the black, buoyed by strong investment gains which more than counteracted an underwriting loss of $4.2 billion. The insurance and financial services firm saw net income soar to more than $2.1 billion — more than double the company’s 2014 net. State Farm has also put its backing behind several burgeoning new, and somewhat controversial, technologies in a bid to modernize the risk assessment model. For instance, the company recently became a customer of the fast-growing drone software startup Airware in order to inspect home rooftops and collect claims data from the skies. It’s also been pushing for drivers who own car insurance policies to put sensors in their vehicles so that State Farm can collect detailed driving data and assess just how much of a risk each of its individual policyholders is."
